,year,year_code,country_name,country_code,access_to_electricity,birth_rate,life_expectancy,exports_perc_gdp,education_years,gdp_per_capita_ppp,perc_internet_users,infant_mort_rate,inflation_perc,consumer_price_index,crop_production_index,goods_imports,prevalence_of_anemia_pregnancy,diabetes_prevalence,human_capital_index,net_enrollment_rate,measles_immunization,co2_emissions_gaseous_fuel,fossil_fuel_energy_consumption,fuel_exports,fuel_imports,investment_inflows,investment_outflows,mobile_subscriptions,agricultural_land,greenhouse_gas_em,age_dependency_ratio,imports_annual_growth,int_tourism_arrivals,total_covid_cases_per_million,total_covid_deaths_per_million,population_density,median_age,human_development_index,ar_tech
1,2020,YR2020,Albania,ALB,0.9990000000000001,16.436,73.955,20.1153637600108,8.0,3862.48437763265,0.00114097347,24.1,0.0500181363468265,74.1363160790387,51.82,921000000.0,29.0,4.5,0.634250938892365,95.38335,95.0,0.728155339805825,58.7150980055366,1.85161317101105,9.02385842621065,4.10877603723822,0.0,0.00952019386,41.7518248175182,-24.5075059668779,59.7235859880878,49.5405941246574,317000.0,45585.169,832.58,104.87100000000001,38.0,0.795,0.5508013601005001
2,2020,YR2020,Algeria,DZA,0.9874726867675779,19.554,70.64,42.0697279237388,10.0,8446.58797859344,0.00491705679,33.9,0.339163189071755,70.4381279952933,34.99,19816999999.9991,37.1,8.5,0.534556448459625,90.74774,80.0,45.2337228714524,99.8150521253614,98.0870247131707,1.40090469992719,0.511222494023906,0.0250044561518298,0.00277041908,16.8032614811021,25.6772695648657,63.0526800301058,7.57080636901601,866000.0,2789.238,74.365,17.348,29.1,0.748,0.545107989506668
4,2020,YR2020,Angola,AGO,0.2,48.15,46.522,89.6858311851382,4.0,3289.41035208343,0.00105045562,121.2,324.996871601321,2.90908239295018,25.58,3039510000.0,53.9,3.5,0.362405389547348,82.44691,32.0,11.3758647194466,25.2200519176355,97.2265157759709,1.23297960059276,9.62386631013722,0.0,0.0015739710600000002,37.6685569904548,-31.5429091263726,99.0711857780217,156.372741624531,51000.0,815.882,18.256,23.89,16.8,0.581,0.11052505657300002
5,2020,YR2020,Antigua and Barbuda,ATG,0.922,19.84,73.94,98.6016493366798,11.0,16841.1274496447,0.06482225737,13.0,0.771779796900182,81.0825688073393,96.47,342390740.740741,23.1,7.1,0.595703899860382,97.35554,95.0,0.0,0.0,0.0,16.2966259403828,5.21750627465041,0.0,0.2894127552,20.4545454545455,7.09303155459551,54.4915047557109,,634000.0,12580.671999999999,326.77099999999996,231.845,32.1,0.778,0.5587290655995001
6,2020,YR2020,Argentina,ARG,0.9551106346744579,19.499,73.576,10.9863752325576,10.0,11618.7960699385,0.07038683086,17.5,,,61.1,23889100000.0,26.4,5.7,0.602144718170166,99.35688,91.0,48.8919274528521,88.3875102923294,17.6241830605225,3.66941772776535,3.66579059535379,0.317035999467937,0.1759645109,46.9581867146078,24.3461322039205,61.7882942458613,-0.157568634686129,2909000.0,66242.14,1418.1860000000001,16.177,31.9,0.845,0.567542690961952
7,2020,YR2020,Armenia,ARM,0.9890000000000001,12.91,71.409,22.1614188089398,12.0,2658.34951796364,0.01300470022,27.0,-0.790883768934766,65.0005904218581,40.82,780696904.0,24.7,7.8,0.578998804092407,87.1312,92.0,74.0740740740741,70.0489923558026,10.1236750243125,20.7515216433961,5.45043316560111,0.0,0.00569652439,46.4699683877766,-72.2291412822638,55.8284298371503,7.02325909322208,45000.0,73094.464,1393.0729999999999,102.931,35.7,0.7759999999999999,0.549071297516
9,2020,YR2020,Australia,AUS,1.0,13.0,79.2341463414634,19.4346594389549,10.0,26321.4464495089,0.46756115610000004,5.1,4.45743514797225,74.3756503642039,89.55,68928612290.7895,15.7,5.7,0.770239531993866,94.48531,91.0,13.4004897595726,89.328168190023,20.8946525176662,8.27644735868205,3.58674526948965,0.986222604604528,0.4508349055,59.2881038230738,124.185840006199,49.7142664180731,12.0480759910827,4931000.0,1169.5739999999998,35.686,3.202,37.9,0.9440000000000001,0.758729895185
10,2020,YR2020,Austria,AUT,1.0,9.8,78.1268292682927,43.3462739519887,13.0,29388.7774746532,0.33730132949999997,4.6,2.34486455542566,82.6019071178291,100.96,113094169446.217,17.9,8.9,0.746739745140076,91.24983,75.0,24.2226148409894,76.5352922346138,1.26073330039353,5.40198047421906,4.31962550948828,2.79954053828331,0.7580605745,35.604262533301,3.56951484973951,47.5297280624623,10.1862673250633,17982000.0,68893.787,1136.192,106.749,44.4,0.922,0.7438615227750001
11,2020,YR2020,Azerbaijan,AZE,0.9890822244967591,14.5,66.763,40.1708314787732,10.0,3442.63193225276,0.00147757576,61.1,1.80500303704358,48.866855021793,56.9,1539005000.0,38.7,7.5,0.577767550945282,88.23962,67.0,38.7349322728967,98.2879019249229,85.0824923536999,4.87559061747654,2.46437386157034,0.0144140940208982,0.0517559282,57.3863567580655,-45.3925667134776,58.7241799089652,7.73687758498771,681000.0,31592.511000000002,447.57099999999997,119.309,32.4,0.7559999999999999,0.5496879678092175
12,2020,YR2020,"Bahamas, The",BHS,1.0,17.609,71.914,38.0475628585261,12.0,28033.6844657628,0.08,13.9,1.6063294174058,80.0088429151256,61.88,1983100000.0,18.6,10.4,,89.40616,93.0,0.0,0.0,0.0,10.362172653034,3.09850714482936,1.73506494792898,0.1057671338,1.2987012987013,-11.3634107020403,53.1191402136109,5.48346296937281,4204000.0,26581.19,506.042,39.497,34.3,0.8140000000000001,0.5885767133800001
