Time,Time Code,Country Name,Country Code,Access to electricity (% of population),Bank liquid reserves to bank assets ratio (%),"Birth rate, crude (per 1,000 people)",Gini index (World Bank estimate),"Life expectancy at birth, total (years)",Exports of goods and services (% of GDP),Taxes on exports (% of tax revenue),Multidimensional poverty index (scale 0-1),Poverty headcount ratio at national poverty lines (% of population),"Compulsory education, duration (years)","GDP per capita, PPP (current international $)",Individuals using the Internet (% of population),"Mortality rate, infant (per 1,000 live births)","Inflation, consumer prices (annual %)",Consumer price index (2010 = 100),Crop production index (2014-2016 = 100),"Energy imports, net (% of energy use)","Goods imports (BoP, current US$)",Prevalence of anemia among pregnant women (%),"Prevalence of HIV, total (% of population ages 15-49)",Diabetes prevalence (% of population ages 20 to 79),Female genital mutilation prevalence (%),Human capital index (HCI) (scale 0-1),"Adjusted net enrollment rate, primary (% of primary school age children)",Adults (ages 15+) and children (ages 0-14) newly infected with HIV,"Immunization, measles (% of children ages 12-23 months)","Prevalence of overweight (modeled estimate, % of children under 5)",CO2 emissions from gaseous fuel consumption (% of total),Fossil fuel energy consumption (% of total),Fuel exports (% of merchandise exports),Fuel imports (% of merchandise imports),"Foreign direct investment, net (BoP, current US$)","Foreign direct investment, net inflows (% of GDP)","Foreign direct investment, net outflows (% of GDP)",Mobile cellular subscriptions (per 100 people),Agricultural land (% of land area),Total greenhouse gas emissions (% change from 1990),"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",Age dependency ratio (% of working-age population),Labor force with advanced education (% of total working-age population with advanced education),Labor force with intermediate education (% of total working-age population with intermediate education),Imports of goods and services (annual % growth),"International tourism, number of arrivals","International tourism, number of departures"
2000,YR2000,Azerbaijan,AZE,98.9082224496759,..,14.5,..,66.763,40.1708314787732,..,..,..,9,3442.63193225276,0.147757576,61.1,1.80500303704358,48.866855021793,56.9,-66.5086799166371,1539005000,38.7,0.1,..,..,..,88.23962,1400,67,7.3,38.7349322728967,98.2879019249229,85.0824923536999,4.87559061747654,-129177000,2.46437386157034,0.0144140940208982,5.17559282,57.3863567580655,-45.3925667134776,..,58.7241799089652,..,..,7.73687758498771,681000,1326000
2000,YR2000,"Bahamas, The",BHS,100,..,17.609,..,71.914,38.0475628585261,1.51890926082455,..,..,12,28033.6844657628,8,13.9,1.6063294174058,80.0088429151256,61.88,..,1983100000,18.6,..,..,..,..,..,..,93,..,0,..,0,10.362172653034,-250250000,3.09850714482936,1.73506494792898,10.57671338,1.2987012987013,-11.3634107020403,..,53.1191402136109,..,..,5.48346296937281,4204000,..
2000,YR2000,Bahrain,BHR,100,..,21.722,..,74.44,79.1806670285974,0,..,..,..,42181.842575706,6.153732546,10.8,-0.704852953090768,83.4385023142846,114.69,-110.021596732478,4375292553.19149,38,..,..,..,..,97.89263,..,98,4.1,85.8534684333593,..,0.0395462453040678,1.20466002686454,-354009613.612708,4.01154558234919,0.105404555002544,30.9544982,12.9577464788732,..,..,48.354643427949,..,..,..,3869000,..
2000,YR2000,Bangladesh,BGD,32,..,27.493,33.4,65.447,12.3442012279919,..,..,48.9,5,1331.5485120908,0.071039423,63.4,2.20825620937534,53.9091441150379,62.98,17.0074181044153,8025436323.20821,46.8,..,..,..,..,..,..,74,0.7,61.1494558003716,57.9429198744077,0.229218459463864,7.28179748336201,-280384629.677983,0.525362089236089,0.00374743857992115,0.218552945,72.2132595836214,7.34891820232619,..,68.9506654572493,..,..,10.2339246037897,199000,1128000
2000,YR2000,Barbados,BRB,100,..,13.934,..,77.162,43.2358228468704,..,..,..,11,12704.9357003097,3.973678355,13.7,2.43581303489138,67.2938918008204,240.59,..,1075933113.14714,22.2,1.9,..,..,..,95.55437,200,94,7.8,3.18471337579618,..,8.62440510021674,11.5216410778609,-50864443.905,2.40879045285177,0.746282072234025,10.48450362,41.8604651162791,9.5259919149737,..,51.244986631016,..,..,..,1078000,..
2000,YR2000,Belarus,BLR,100,..,9.4,31.2,68.9121951219512,69.2108213448948,0,..,41.9,9,5808.35742604515,1.860398126,9.9,168.620235850933,16.0506056584144,81.8,86.1667105207793,7062900000,28.1,0.1,..,..,..,..,500,98,8.4,60.7172075265885,91.622449702941,19.8121417383218,29.9015451874812,-118600000,0.932726194574,0.00157024611881145,0.499947729,45.6123052652337,-55.0257520180195,..,47.0688316398388,..,..,13.4000030710784,2030000,4747000
2000,YR2000,Belgium,BEL,100,..,11.4,33.1,77.7219512195122,72.5473951580567,0,..,..,12,27796.6460731837,29.43169169,4.8,2.54451776190906,81.4218043493863,96.95,76.3688407902762,..,16,..,..,..,..,99.19199,..,82,3.9,26.5982862421559,75.8540863960788,4.57326410348979,8.88476564567767,..,37.5685906251901,36.5622576937659,54.74598263,45.891677675033,6.6573657077224,..,52.514115505908,81.4400024414063,63.689998626709,13.0155155552031,6457000,7932000
2000,YR2000,Belize,BLZ,79,..,29.868,..,68.847,52.9736554293612,..,..,..,8,5558.48644917286,5.963835303,20,..,..,104.83,..,467658722.31075,27.9,..,..,..,..,96.34834,..,96,9,0,..,0,16.9527150534595,-23340762.4266667,3.55323020451494,0.748018687578871,6.797808463,6.53222270933801,164.964189477286,..,80.6656390851115,..,..,20.0908851195476,374000,..
2000,YR2000,Benin,BEN,21.3994197845459,..,42.371,..,55.391,20.6053025489554,..,..,..,6,1759.7190754288,0.225247851,86.1,4.16540442290282,74.3319475815406,53.3,27.1084446730923,516053905.127868,61.6,1.3,..,..,..,..,6200,70,2.9,0,25.4861878174381,..,19.1502616963496,-56293369.3973903,-0.364395802749517,-1.9676250526588,0.807987124,28.3345157857396,-14.6943462626451,..,93.7836657775209,..,..,-10.5825534562975,1068000,..
2000,YR2000,Bermuda,BMU,100,..,13.5,..,77.8853658536585,..,..,..,..,13,53983.1077673148,42.94986002,..,..,..,89.44,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,1.92229282122763,0.39940015269154,19.99630837,7.40740740740741,-20.5204788018198,..,..,..,..,..,539000,..
